file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0749_0195_2070579_to_2075117,གནས་ཚུལ་ཆུང་ཆུང་འདི་རྙོག་དྲ་ཚ་རུ་ཕྱིན་ཡོང་ང་།  ,gnas tshul chung chung 'di rnyog dra tsha ru phyin yong nga /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0195_2070579_to_2075117.wav,STT_MV,3,47,4.538,wav16k/STT_MV0749_0195_2070579_to_2075117.wav,གནས་ཚུལ་ཆུང་ཆུང་འདི་རྙོག་དྲ་ཚ་རུ་ཕྱིན་ཡོང་ང་།
STT_MV0749_0196_2110827_to_2114621,ལོག་ཡོང་པེ།  ,log yong pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0196_2110827_to_2114621.wav,STT_MV,3,13,3.794,wav16k/STT_MV0749_0196_2110827_to_2114621.wav,ལོག་ཡོང་པེ།
STT_MV0932_0176_1158362_to_1166889,ཁོ་ཡོང་བྱས་ག་རེ་ཡིན་ན། ཕལ་ཆེར་ང་ལས་ཀ་བྱེད་ཀ་ཤོག་ཟེར་མྱི་ཡིན་གྱི་རེད།  ,kho yong byas ga re yin na/_phal cher nga las ka byed ka shog zer myi yin gyi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0176_1158362_to_1166889.wav,STT_MV,3,70,8.527,wav16k/STT_MV0932_0176_1158362_to_1166889.wav,ཁོ་ཡོང་བྱས་ག་རེ་ཡིན་ན། ཕལ་ཆེར་ང་ལས་ཀ་བྱེད་ཀ་ཤོག་ཟེར་མྱི་ཡིན་གྱི་རེད།
STT_MV0932_0199_1300345_to_1310344,གཅེན་པོ། བཀྲ་ཤིས་བདེ་ལེགས། དམག་གི་དབང་ཆ་ཡང་བསྐྱར་ང་ཚོའི་ཁྱིམ་རྒྱུད་ཀི་ལག་པར་རག་པ་རེད།  ,gcen po/_bkra shis bde legs/_dmag gi dbang cha yang bskyar nga tsho'i khyim rgyud ki lag par rag pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0199_1300345_to_1310344.wav,STT_MV,3,87,9.999,wav16k/STT_MV0932_0199_1300345_to_1310344.wav,གཅེན་པོ་བཀྲ་ཤིས་བདེ་ལེགས། དམག་གི་དབང་ཆ་ཡང་བསྐྱར་ང་ཚོའི་ཁྱིམ་རྒྱུད་ཀི་ལག་པར་རག་པ་རེད།
STT_MV0932_0204_1339450_to_1342320,ངེད་གཉིས་ཀིས་སྔོན་མ་མི་ཚེ་འདིར་ ,nged gnyis kis sngon ma mi tshe 'dir _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0204_1339450_to_1342320.wav,STT_MV,3,32,2.87,wav16k/STT_MV0932_0204_1339450_to_1342320.wav,ངེད་གཉིས་ཀིས་སྔོན་མ་མི་ཚེ་འདིར་
STT_NS_M0490_0812_5132534_to_5137790,གཅིག་ཅ་ཟིང་པོ་འདྲ་བོ་ཅིག་ཁྱོད་རང་ལ་ཞེ་བོ་ཅིག་ང་ཚོས་ཁྱོད་རང་མི་ཚེའི་ནང་ལ་ཇུས་གཏོགས་བྱེད་རྒྱོ་འདྲ་བོ་ཅིག་མཐོང་སྲིད་ཀི་རེད་བ།  ,gcig ca zing po 'dra bo cig khyod rang la zhe bo cig nga tshos khyod rang mi tshe'i nang la jus gtogs byed rgyo 'dra bo cig mthong srid ki red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0490_0812_5132534_to_5137790.wav,STT_NS,3,124,5.256,wav16k/STT_NS_M0490_0812_5132534_to_5137790.wav,གཅིག་ཅ་ཟིང་པོ་འདྲ་བོ་ཅིག་ཁྱོད་རང་ལ་ཞེ་བོ་ཅིག་ང་ཚོས་ཁྱོད་རང་མི་ཚེའི་ནང་ལ་ཇུས་གཏོགས་བྱེད་རྒྱོ་འདྲ་བོ་ཅིག་མཐོང་སྲིད་ཀི་རེད་བ།
STT_NS_M0490_0824_5187494_to_5190211,འགྲིག་གི་མི་འདུག་ད། ད་འདི་ངས་བྱེད་ཀི་མིན་གདའ་ལབ་ཡ་ཅིག་མི་འདུག་བེ།  ,'grig gi mi 'dug da/_da 'di ngas byed ki min gda' lab ya cig mi 'dug be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0490_0824_5187494_to_5190211.wav,STT_NS,3,67,2.717,wav16k/STT_NS_M0490_0824_5187494_to_5190211.wav,འགྲིག་གི་མི་འདུག་ད། ད་དེ་ངས་བྱེད་ཀི་མིན་ད་ལབ་ཡ་ཅིག་མི་འདུག་བེ།
STT_MV0749_0215_2272536_to_2276448,ད་དུང་རང་། གོ་བྱུང་།  ,da dung rang /_go byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0215_2272536_to_2276448.wav,STT_MV,3,22,3.912,wav16k/STT_MV0749_0215_2272536_to_2276448.wav,ད་དུང་རང་། གོ་བྱུང་།
STT_MV0749_0216_2299350_to_2308595,གཉིད་ཁུག་གི་མི་འདུག་གེ།  ,gnyid khug gi mi 'dug ge/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0216_2299350_to_2308595.wav,STT_MV,3,25,9.245,wav16k/STT_MV0749_0216_2299350_to_2308595.wav,གཉིད་ཁུག་གི་མི་འདུག་གེ
STT_MV0749_0217_2308595_to_2318270,རང་གཉིད་ཁུག་གི་མི་འདུག་གེ ང་གཉིད་མ་ཁུག་པ་ཨེ།  ,rang gnyid khug gi mi 'dug ge_nga gnyid ma khug pa e/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0217_2308595_to_2318270.wav,STT_MV,3,46,9.675,wav16k/STT_MV0749_0217_2308595_to_2318270.wav,ཨོན། རང་ཡེ་གཉིད་ཁུག་གི་མི་འདུག་གེ ང་གཉིད་མ་ཁུག་པ་ཨེ།
STT_MV0749_0218_2318270_to_2320179,རྒྱུ་འབྲས་མེད་པའི་ལས་ཀ་བྱས་མེད་ཙང་།  ,rgyu 'bras med pa'i las ka byas med tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0218_2318270_to_2320179.wav,STT_MV,3,37,1.909,wav16k/STT_MV0749_0218_2318270_to_2320179.wav,རྒྱུ་འབྲས་མེད་པའི་ལས་ཀ་བྱས་མེད་ཙང་།
STT_MV0932_0179_1182554_to_1187544,གོང་མ་སྙན་ཐག་འདྲ་ཆོད་བྱས། ཁྱེད་རང་གི་གོ་གནས་སླར་གསོ་གནང་སོང་།  ,gong ma snyan thag 'dra chod byas/_khyed rang gi go gnas slar gso gnang song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0179_1182554_to_1187544.wav,STT_MV,3,63,4.99,wav16k/STT_MV0932_0179_1182554_to_1187544.wav,གོང་མ་སཉེར་ཐག་རྲ་གཅིག་ཆོད་བྱས་ཁྱེད་རང་གི་གོ་གནས་སླར་གསོ་གནང་སོང་།
STT_MV0749_0235_2435701_to_2438142,དོན་དག་ག་རེ་ཡོད་ནས་བཤད་མྱི་དེ་འདྲས་རེད།  ,don dag ga re yod nas bshad myi de 'dras red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0235_2435701_to_2438142.wav,STT_MV,3,41,2.441,wav16k/STT_MV0749_0235_2435701_to_2438142.wav,དོན་དག་ག་རེ་ཡོད་ནས་བཤད་མྱི་དེ་འདྲས་རེད།
STT_MV0749_0236_2438142_to_2443223,ཡིན་ནས་ད་ལྟ། སེམས་ནང་ལ་མ་སྐྱིད་པ་ག་ཚད་བྱུང་ན་ཡེ་ཁྱོན་ནས་མ་བཤད་པ་བྱས།  ,yin nas da lta/_sems nang la ma skyid pa ga tshad byung na ye khyon nas ma bshad pa byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0236_2438142_to_2443223.wav,STT_MV,3,70,5.081,wav16k/STT_MV0749_0236_2438142_to_2443223.wav,ཡིན་ནས་ད་ལྟ། སེམས་ནང་ལ་མ་སྐྱིད་པ་ག་ཚོད་བྱུང་ནས། ཁྱོན་ནས་མ་བཤད་པ་བྱས།
STT_MV0749_0237_2443223_to_2449080,ག་གེ་མེད་པའི་ཟོལ་ར་བྱས་བསྡད་ཀིས། རང་ཤོད་དང་།  ,ga ge med pa'i zol ra byas bsdad kis/_rang shod dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0237_2443223_to_2449080.wav,STT_MV,3,46,5.857,wav16k/STT_MV0749_0237_2443223_to_2449080.wav,ག་གེ་མེད་པའི་བཟོལ་ར་བྱས་བསྡད་ཀིས། རང་ཤོད་དང་།
STT_MV0749_0238_2449080_to_2454811,ང་སེམས་ཁྲལ་བྱེད་ཀི་རེད་མ་རེད་ཨཱ།  ,nga sems khral byed ki red ma red A/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0238_2449080_to_2454811.wav,STT_MV,3,34,5.731,wav16k/STT_MV0749_0238_2449080_to_2454811.wav,ང་སེམས་ཁྲལ་བྱེད་ཀི་རེད་མ་རེད་ཨཱ།
STT_MV0932_0145_974187_to_980021,ཧ་ཧ་ཧ། གཅེན་པོ། ང་ཚོས་ཅ་ལག་བཅག་ཙང་། སྐྱིན་པ་སྤྲད་དགོས་བྱུང་། རེད། སྤྲད་དགོས་ད་དགོས། བཙོག་པ་ག་རེ་འདུག་ནས་ང་ཚོས་འགན་ཁེར་ཆོག།  ,ha ha ha/_gcen po/_nga tshos ca lag bcag tsang /_skyin pa sprad dgos byung /_red/_sprad dgos da dgos/_btsog pa ga re 'dug nas nga tshos 'gan kher chog/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0145_974187_to_980021.wav,STT_MV,3,124,5.834,wav16k/STT_MV0932_0145_974187_to_980021.wav,གཅེན་པོ། ང་ཚོས་ཅ་ལག་བཅག་ཙང་སྐྱིད་པོ་སྤྲས་དགོས་དགོས་བྱུང་། རེད། སྤྲད་དགོས་ད་དགོས། བཙོག་པ་ག་རེ་འདུག་ནས་ང་ཚོས་འགན་ཁེར་ཆོག
STT_MV0749_0255_2539894_to_2547449,ཧི་ཧི་ཧན། ག་རེ་བྱས་སོང་དྷན་དན། རྨོ་ལགས། ཁྱེད་རང་གིས་རྟག་པར་འདི་འདྲས་གསུང་བཞུགས་ན་ང་ཚོར་ལས་སེམས་སྡུག་ག་ཚོད་ཡོད་མ་རེད།  ,hi hi han/_ga re byas song d+han dan/_rmo lags/_khyed rang gis rtag par 'di 'dras gsung bzhugs na nga tshor las sems sdug ga tshod yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0255_2539894_to_2547449.wav,STT_MV,3,118,7.555,wav16k/STT_MV0749_0255_2539894_to_2547449.wav,ཨ་ཧ་ཧ་ཧ་ཧ། ག་རེ་བྱས་སོང་། དྷན་དན།  རྨོ་ལགས། ཁྱེད་རང་གིས་རྟག་པར་འདེ་འདྲས་གསུང་བཞུགས་ན། ང་ཚོར་ལས་སེམས་སྡུག་ག་ཚོད་ཡོད་མ་རེད།
STT_MV0749_0256_2547449_to_2557144,ང་ཚོས་ཁྱེད་རང་གཉིས་འདིར་བཞུགས་རོགས་བྱས་ན་བསམ་གིས།  ,nga tshos khyed rang gnyis 'dir bzhugs rogs byas na bsam gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0256_2547449_to_2557144.wav,STT_MV,3,51,9.695,wav16k/STT_MV0749_0256_2547449_to_2557144.wav,ང་ཚོས་ཁྱེད་རང་གཉིས་འདིར་བཞུགས་རོགས་བྱས་ན་བསམ་གིས། ཨ་ཧ་ཧཧཧ་ཧ།
STT_MV0751_0008_56856_to_59673,ད་ལྟ་གློ་བུར་དུ། ང་རྨོངས་གཉིད་ནས་བསད་སོང་།  ,da lta glo bur du/_nga rmongs gnyid nas bsad song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0751_0008_56856_to_59673.wav,STT_MV,3,44,2.817,wav16k/STT_MV0751_0008_56856_to_59673.wav,ད་ལྟ་གློ་བུར་དུ་ང་རྨོངས་གཉིད་ནས་བསད་སོང་།
STT_MV0751_0028_195050_to_201330,རང་འབྲེལ་བ་འདི་འདྲས་བྱེད་དགོས་ཡ་འདུག་གེ ཕྱི་དྲོ་ངར་ལས་ཀ་ཡོད། སང་ཉིན་ཕྱི་དྲོ་འགྲོ།  ,rang 'brel ba 'di 'dras byed dgos ya 'dug ge_phyi dro ngar las ka yod/_sang nyin phyi dro 'gro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0751_0028_195050_to_201330.wav,STT_MV,3,83,6.28,wav16k/STT_MV0751_0028_195050_to_201330.wav,རང་བྲེལ་བ་འདི་འདྲས་བྱེད་དགོས་ཡ་འདུག་གེ ཕྱི་དྲོ་ང་ལས་ཀ་ཡོད། སང་ཉིན་ཕྱི་རུ་འགྲོ
